Tri   ,Année   ,Périmètre juridique ,Legal perimeter ,Périmètre spatial             ,country                  ,Filière        ,Sector                   ,Type d'énergie ,Type of energy ,Production            ,Unité ,Méthode de consolidation ,Consolidation method ,city             ,lat      ,lng     ,population ,alpha-2 ,alpha-3 ,country-code ,iso_3166-2    ,region   ,sub-region                      ,intermediate-region ,region-code ,sub-region-code ,intermediate-region-code
  8.0 ,20220.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Solaire        ,Solar                    ,Électrique     ,Electric       ,     0.2113804        ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
  9.0 ,20220.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Gaz            ,Gas                      ,Chaleur        ,Heat           ,    43.2547438        ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
100.0 ,20210.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Hydraulique    ,Hydraulic                ,Électrique     ,Electric       ,   193.371888         ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
101.0 ,20210.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Gaz            ,Gas                      ,Électrique     ,Electric       ,  1742.851987         ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
102.0 ,20210.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Éolienne       ,Wind                     ,Électrique     ,Electric       ,   733.0635422        ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
103.0 ,20210.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Solaire        ,Solar                    ,Électrique     ,Electric       ,     1.557901         ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
104.0 ,20210.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Gaz            ,Gas                      ,Chaleur        ,Heat           ,    52.838237         ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
105.0 ,20210.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Nucléaire      ,Nuclear                  ,Électrique     ,Electric       ,  6352.035127         ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
215.0 ,20200.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Nucléaire      ,Nuclear                  ,Électrique     ,Electric       ,  2119.0158449        ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
226.0 ,20200.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Gaz            ,Gas                      ,Électrique     ,Electric       ,  2279.8288919        ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
237.0 ,20200.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Hydraulique    ,Hydraulic                ,Électrique     ,Electric       ,   125.4618167        ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
245.0 ,20200.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Éolienne       ,Wind                     ,Électrique     ,Electric       ,   844.178341         ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
259.0 ,20200.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Solaire        ,Solar                    ,Électrique     ,Electric       ,     1.077491         ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
287.0 ,20200.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Gaz            ,Gas                      ,Chaleur        ,Heat           ,    42.770216         ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
315.0 ,20190.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Nucléaire      ,Nuclear                  ,Électrique     ,Electric       ,  6152.7385983        ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
326.0 ,20190.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Gaz            ,Gas                      ,Électrique     ,Electric       ,  2066.4225343        ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
336.0 ,20190.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Hydraulique    ,Hydraulic                ,Électrique     ,Electric       ,   137.5708939        ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
