Tri,Année,Périmètre juridique,Legal perimeter,Périmètre spatial,country,Filière,Sector,Type d'énergie,Type of energy,Production,Unité ,Méthode de consolidation,Consolidation method,city,lat,lng,population
386.0,20190.0,Groupe EDF,EDF group,Belgique,Belgium,Gaz,Gas,Chaleur,Heat,44.576756627,GWh,Nette,Net,Brussels,50.8333,4.3333,1743000.0
10.0,20220.0,Groupe EDF,EDF group,Brésil,Brazil,Gaz,Gas,Électrique,Electric,1480.3529191,GWh,Nette,Net,São Paulo,-23.5587,-46.625,18845000.0
11.0,20220.0,Groupe EDF,EDF group,Brésil,Brazil,Hydraulique,Hydraulic,Électrique,Electric,829.0978557,GWh,Nette,Net,São Paulo,-23.5587,-46.625,18845000.0
12.0,20220.0,Groupe EDF,EDF group,Brésil,Brazil,Éolienne,Wind,Électrique,Electric,2520.9764,GWh,Nette,Net,São Paulo,-23.5587,-46.625,18845000.0
13.0,20220.0,Groupe EDF,EDF group,Brésil,Brazil,Solaire,Solar,Électrique,Electric,399.770999999999,GWh,Nette,Net,São Paulo,-23.5587,-46.625,18845000.0
106.0,20210.0,Groupe EDF,EDF group,Brésil,Brazil,Gaz,Gas,Électrique,Electric,7134.569485,GWh,Nette,Net,São Paulo,-23.5587,-46.625,18845000.0
107.0,20210.0,Groupe EDF,EDF group,Brésil,Brazil,Hydraulique,Hydraulic,Électrique,Electric,711.3072,GWh,Nette,Net,São Paulo,-23.5587,-46.625,18845000.0
108.0,20210.0,Groupe EDF,EDF group,Brésil,Brazil,Éolienne,Wind,Électrique,Electric,1705.101015,GWh,Nette,Net,São Paulo,-23.5587,-46.625,18845000.0
109.0,20210.0,Groupe EDF,EDF group,Brésil,Brazil,Solaire,Solar,Électrique,Electric,388.512325,GWh,Nette,Net,São Paulo,-23.5587,-46.625,18845000.0
227.0,20200.0,Groupe EDF,EDF group,Brésil,Brazil,Gaz,Gas,Électrique,Electric,5340.574716,GWh,Nette,Net,São Paulo,-23.5587,-46.625,18845000.0
238.0,20200.0,Groupe EDF,EDF group,Brésil,Brazil,Hydraulique,Hydraulic,Électrique,Electric,300.8043342,GWh,Nette,Net,São Paulo,-23.5587,-46.625,18845000.0
246.0,20200.0,Groupe EDF,EDF group,Brésil,Brazil,Éolienne,Wind,Électrique,Electric,879.915,GWh,Nette,Net,São Paulo,-23.5587,-46.625,18845000.0
260.0,20200.0,Groupe EDF,EDF group,Brésil,Brazil,Solaire,Solar,Électrique,Electric,378.699,GWh,Nette,Net,São Paulo,-23.5587,-46.625,18845000.0
327.0,20190.0,Groupe EDF,EDF group,Brésil,Brazil,Gaz,Gas,Électrique,Electric,6475.17955,GWh,Nette,Net,São Paulo,-23.5587,-46.625,18845000.0
337.0,20190.0,Groupe EDF,EDF group,Brésil,Brazil,Hydraulique,Hydraulic,Électrique,Electric,144.73477986,GWh,Nette,Net,São Paulo,-23.5587,-46.625,18845000.0
345.0,20190.0,Groupe EDF,EDF group,Brésil,Brazil,Éolienne,Wind,Électrique,Electric,829.594,GWh,Nette,Net,São Paulo,-23.5587,-46.625,18845000.0
360.0,20190.0,Groupe EDF,EDF group,Brésil,Brazil,Solaire,Solar,Électrique,Electric,415.5,GWh,Nette,Net,São Paulo,-23.5587,-46.625,18845000.0
14.0,20220.0,Groupe EDF,EDF group,Canada,Canada,Éolienne,Wind,Électrique,Electric,2092.9918,GWh,Nette,Net,Toronto,43.7,-79.42,5213000.0
15.0,20220.0,Groupe EDF,EDF group,Canada,Canada,Solaire,Solar,Électrique,Electric,43.6325,GWh,Nette,Net,Toronto,43.7,-79.42,5213000.0
