Tri ;Année ;Périmètre juridique ;Legal perimeter ;Périmètre spatial             ;country                    ;Filière        ;Sector                   ;Type d'énergie ;Type of energy ;Production            ;Unité ;Méthode de consolidation ;Consolidation method
141 ; 2021 ;Groupe EDF          ;EDF group       ;Israël                        ;Israel                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   495.00525894       ;GWh   ;Nette                    ;Net
142 ; 2021 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Gaz            ;Gas                      ;Électrique     ;Electric       ; 12367.0822525502     ;GWh   ;Nette                    ;Net
143 ; 2021 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ;  2810.61188441179    ;GWh   ;Nette                    ;Net
144 ; 2021 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;  1478.72093          ;GWh   ;Nette                    ;Net
145 ; 2021 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   102.232557         ;GWh   ;Nette                    ;Net
146 ; 2021 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Biomasse       ;Biomass                  ;Électrique     ;Electric       ;    18.2961393        ;GWh   ;Nette                    ;Net
147 ; 2021 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Divers         ;Various                  ;Électrique     ;Electric       ;    32.61783126       ;GWh   ;Nette                    ;Net
148 ; 2021 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Fioul          ;Fioul                    ;Chaleur        ;Heat           ;     0.261985070406   ;GWh   ;Nette                    ;Net
149 ; 2021 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Gaz            ;Gas                      ;Chaleur        ;Heat           ;  2884.812111         ;GWh   ;Nette                    ;Net
150 ; 2021 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Autres ENR     ;Other Renewable Energies ;Chaleur        ;Heat           ;    70.008721075038   ;GWh   ;Nette                    ;Net
151 ; 2021 ;Groupe EDF          ;EDF group       ;Mexique                       ;Mexico                     ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   469.420227999999   ;GWh   ;Nette                    ;Net
152 ; 2021 ;Groupe EDF          ;EDF group       ;Mexique                       ;Mexico                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   257.13958955       ;GWh   ;Nette                    ;Net
153 ; 2021 ;Groupe EDF          ;EDF group       ;Pologne                       ;Poland                     ;Charbon        ;Coal                     ;Électrique     ;Electric       ;    24.9153344358     ;GWh   ;Nette                    ;Net
154 ; 2021 ;Groupe EDF          ;EDF group       ;Pologne                       ;Poland                     ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;    24.8              ;GWh   ;Nette                    ;Net
155 ; 2021 ;Groupe EDF          ;EDF group       ;Pologne                       ;Poland                     ;Divers         ;Various                  ;Électrique     ;Electric       ;    79.027555         ;GWh   ;Nette                    ;Net
156 ; 2021 ;Groupe EDF          ;EDF group       ;Pologne                       ;Poland                     ;Charbon        ;Coal                     ;Chaleur        ;Heat           ;   869.8818252932     ;GWh   ;Nette                    ;Net
157 ; 2021 ;Groupe EDF          ;EDF group       ;Pologne                       ;Poland                     ;Gaz            ;Gas                      ;Chaleur        ;Heat           ;    90.284067384      ;GWh   ;Nette                    ;Net
158 ; 2021 ;Groupe EDF          ;EDF group       ;Pologne                       ;Poland                     ;Divers         ;Various                  ;Chaleur        ;Heat           ;   152.963926544      ;GWh   ;Nette                    ;Net
159 ; 2021 ;Groupe EDF          ;EDF group       ;Portugal                      ;Portugal                   ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   359.538648566      ;GWh   ;Nette                    ;Net
160 ; 2021 ;Groupe EDF          ;EDF group       ;Suisse                        ;Switzerland                ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ;   268.5108327        ;GWh   ;Nette                    ;Net
161 ; 2021 ;Groupe EDF          ;EDF group       ;Turquie                       ;Turkey                     ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   372.081            ;GWh   ;Nette                    ;Net
162 ; 2021 ;Groupe EDF          ;EDF group       ;Turquie                       ;Turkey                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;    14.638            ;GWh   ;Nette                    ;Net
163 ; 2021 ;Groupe EDF          ;EDF group       ;Royaume-Uni                   ;United Kingdom             ;Nucléaire      ;Nuclear                  ;Électrique     ;Electric       ; 33368.0              ;GWh   ;Nette                    ;Net
164 ; 2021 ;Groupe EDF          ;EDF group       ;Royaume-Uni                   ;United Kingdom             ;Charbon        ;Coal                     ;Électrique     ;Electric       ;   490.479            ;GWh   ;Nette                    ;Net
165 ; 2021 ;Groupe EDF          ;EDF group       ;Royaume-Uni                   ;United Kingdom             ;Gaz            ;Gas                      ;Électrique     ;Electric       ;  2601.427            ;GWh   ;Nette                    ;Net
166 ; 2021 ;Groupe EDF          ;EDF group       ;Royaume-Uni                   ;United Kingdom             ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   881.67595550614    ;GWh   ;Nette                    ;Net
167 ; 2021 ;Groupe EDF          ;EDF group       ;Royaume-Uni                   ;United Kingdom             ;Biomasse       ;Biomass                  ;Électrique     ;Electric       ;    13.7402509        ;GWh   ;Nette                    ;Net
168 ; 2021 ;Groupe EDF          ;EDF group       ;Royaume-Uni                   ;United Kingdom             ;Divers         ;Various                  ;Chaleur        ;Heat           ;     1.708974         ;GWh   ;Nette                    ;Net
169 ; 2021 ;Groupe EDF          ;EDF group       ;Royaume-Uni                   ;United Kingdom             ;Autres ENR     ;Other Renewable Energies ;Chaleur        ;Heat           ;     1.708974         ;GWh   ;Nette                    ;Net
170 ; 2021 ;Groupe EDF          ;EDF group       ;États-Unis                    ;United States of America   ;Nucléaire      ;Nuclear                  ;Électrique     ;Electric       ; 10105.9784           ;GWh   ;Nette                    ;Net
171 ; 2021 ;Groupe EDF          ;EDF group       ;États-Unis                    ;United States of America   ;Éolienne       ;Wind                     ;Électrique     ;Electric       ; 10627.3083452298     ;GWh   ;Nette                    ;Net
172 ; 2021 ;Groupe EDF          ;EDF group       ;États-Unis                    ;United States of America   ;Solaire        ;Solar                    ;Électrique     ;Electric       ;  1277.17935122426    ;GWh   ;Nette                    ;Net
173 ; 2021 ;Groupe EDF          ;EDF group       ;Viêt Nam                      ;Vietnam                    ;Gaz            ;Gas                      ;Électrique     ;Electric       ;  2205.0545625        ;GWh   ;Nette                    ;Net
174 ; 2021 ;Groupe EDF          ;EDF group       ;Pays-Bas                      ;Netherlands                ;Gaz            ;Gas                      ;Électrique     ;Electric       ;  1743.5              ;GWh   ;Nette                    ;Net
175 ; 2021 ;Groupe EDF          ;EDF group       ;Chili                         ;Chile                      ;Fioul          ;Fioul                    ;Électrique     ;Electric       ;   261.06             ;GWh   ;Nette                    ;Net
176 ; 2021 ;Groupe EDF          ;EDF group       ;Chili                         ;Chile                      ;Gaz            ;Gas                      ;Électrique     ;Electric       ;   378.03             ;GWh   ;Nette                    ;Net
177 ; 2021 ;Groupe EDF          ;EDF group       ;Chili                         ;Chile                      ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   153.0923           ;GWh   ;Nette                    ;Net
178 ; 2021 ;Groupe EDF          ;EDF group       ;Chili                         ;Chile                      ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   280.2596           ;GWh   ;Nette                    ;Net
179 ; 2021 ;Groupe EDF          ;EDF group       ;Laos                          ;Laos                       ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ;  1904.0              ;GWh   ;Nette                    ;Net
180 ; 2021 ;Groupe EDF          ;EDF group       ;Maroc                         ;Morocco                    ;Autres ENR     ;Other Renewable Energies ;Chaleur        ;Heat           ;     5.80065185224181 ;GWh   ;Nette                    ;Net
181 ; 2021 ;Groupe EDF          ;EDF group       ;Émirats arabes unis           ;United Arab Emirates       ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   392.0816053216     ;GWh   ;Nette                    ;Net
182 ; 2021 ;Groupe EDF          ;EDF group       ;Égypte                        ;Egypt                      ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   152.6506371352     ;GWh   ;Nette                    ;Net
183 ; 2021 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Nucléaire      ;Nuclear                  ;Électrique     ;Electric       ;409754.842            ;GWh   ;Intégration Globale      ;Full integration
184 ; 2021 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Charbon        ;Coal                     ;Électrique     ;Electric       ;  3530.525974         ;GWh   ;Intégration Globale      ;Full integration
185 ; 2021 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Fioul          ;Fioul                    ;Électrique     ;Electric       ;  5093.9829           ;GWh   ;Intégration Globale      ;Full integration
186 ; 2021 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Gaz            ;Gas                      ;Électrique     ;Electric       ; 37994.7712306171     ;GWh   ;Intégration Globale      ;Full integration
187 ; 2021 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ; 45593.9793362463     ;GWh   ;Intégration Globale      ;Full integration
188 ; 2021 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Éolienne       ;Wind                     ;Électrique     ;Electric       ; 18302.7495813679     ;GWh   ;Intégration Globale      ;Full integration
189 ; 2021 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Solaire        ;Solar                    ;Électrique     ;Electric       ;  1775.89332839208    ;GWh   ;Intégration Globale      ;Full integration
190 ; 2021 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Géothermie     ;Geothermal               ;Électrique     ;Electric       ;     4.226            ;GWh   ;Intégration Globale      ;Full integration
191 ; 2021 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Biomasse       ;Biomass                  ;Électrique     ;Electric       ;   834.817            ;GWh   ;Intégration Globale      ;Full integration
192 ; 2021 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Énergie marine ;Marine energy            ;Électrique     ;Electric       ;   543.049            ;GWh   ;Intégration Globale      ;Full integration
193 ; 2021 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Divers         ;Various                  ;Électrique     ;Electric       ;   231.6978           ;GWh   ;Intégration Globale      ;Full integration
194 ; 2021 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Charbon        ;Coal                     ;Chaleur        ;Heat           ;   893.6186781088     ;GWh   ;Intégration Globale      ;Full integration
195 ; 2021 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Fioul          ;Fioul                    ;Chaleur        ;Heat           ;   221.4874395596     ;GWh   ;Intégration Globale      ;Full integration
196 ; 2021 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Gaz            ;Gas                      ;Chaleur        ;Heat           ; 17928.4518488444     ;GWh   ;Intégration Globale      ;Full integration
197 ; 2021 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Divers         ;Various                  ;Chaleur        ;Heat           ;   529.61115962144    ;GWh   ;Intégration Globale      ;Full integration
198 ; 2021 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Autres ENR     ;Other Renewable Energies ;Chaleur        ;Heat           ;  7937.37494796156    ;GWh   ;Intégration Globale      ;Full integration
199 ; 2020 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Nucléaire      ;Nuclear                  ;Électrique     ;Electric       ;384099.389            ;GWh   ;Intégration Globale      ;Full integration
200 ; 2020 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Charbon        ;Coal                     ;Électrique     ;Electric       ;  2215.637818         ;GWh   ;Intégration Globale      ;Full integration
201 ; 2020 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Fioul          ;Fioul                    ;Électrique     ;Electric       ;  4574.865            ;GWh   ;Intégration Globale      ;Full integration
202 ; 2020 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Gaz            ;Gas                      ;Électrique     ;Electric       ; 41966.1881503        ;GWh   ;Intégration Globale      ;Full integration
203 ; 2020 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ; 48820.1649888        ;GWh   ;Intégration Globale      ;Full integration
204 ; 2020 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Éolienne       ;Wind                     ;Électrique     ;Electric       ; 17172.7531941        ;GWh   ;Intégration Globale      ;Full integration
205 ; 2020 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Solaire        ;Solar                    ;Électrique     ;Electric       ;  1170.91221035       ;GWh   ;Intégration Globale      ;Full integration
206 ; 2020 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Géothermie     ;Geothermal               ;Électrique     ;Electric       ;     2.75             ;GWh   ;Intégration Globale      ;Full integration
207 ; 2020 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Biomasse       ;Biomass                  ;Électrique     ;Electric       ;   958.925964148      ;GWh   ;Intégration Globale      ;Full integration
208 ; 2020 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Énergie marine ;Marine energy            ;Électrique     ;Electric       ;   539.947            ;GWh   ;Intégration Globale      ;Full integration
209 ; 2020 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Divers         ;Various                  ;Électrique     ;Electric       ;   376.068884148      ;GWh   ;Intégration Globale      ;Full integration
210 ; 2020 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Charbon        ;Coal                     ;Chaleur        ;Heat           ;   888.784964         ;GWh   ;Intégration Globale      ;Full integration
211 ; 2020 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Fioul          ;Fioul                    ;Chaleur        ;Heat           ;   206.4564374        ;GWh   ;Intégration Globale      ;Full integration
212 ; 2020 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Gaz            ;Gas                      ;Chaleur        ;Heat           ; 15575.772128         ;GWh   ;Intégration Globale      ;Full integration
213 ; 2020 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Divers         ;Various                  ;Chaleur        ;Heat           ;   811.88562634       ;GWh   ;Intégration Globale      ;Full integration
214 ; 2020 ;Groupe EDF          ;EDF group       ;Monde                         ;World                      ;Autres ENR     ;Other Renewable Energies ;Chaleur        ;Heat           ;  8579.41488309       ;GWh   ;Intégration Globale      ;Full integration
215 ; 2020 ;Groupe EDF          ;EDF group       ;Belgique                      ;Belgium                    ;Nucléaire      ;Nuclear                  ;Électrique     ;Electric       ;  2119.0158449        ;GWh   ;Nette                    ;Net
216 ; 2020 ;Groupe EDF          ;EDF group       ;République populaire de Chine ;People's Republic of China ;Nucléaire      ;Nuclear                  ;Électrique     ;Electric       ;  6471.0              ;GWh   ;Nette                    ;Net
217 ; 2020 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Nucléaire      ;Nuclear                  ;Électrique     ;Electric       ;330004.38633          ;GWh   ;Nette                    ;Net
218 ; 2020 ;Groupe EDF          ;EDF group       ;Royaume-Uni                   ;United Kingdom             ;Nucléaire      ;Nuclear                  ;Électrique     ;Electric       ; 36533.6              ;GWh   ;Nette                    ;Net
219 ; 2020 ;Groupe EDF          ;EDF group       ;États-Unis                    ;United States of America   ;Nucléaire      ;Nuclear                  ;Électrique     ;Electric       ; 16607.737788         ;GWh   ;Nette                    ;Net
220 ; 2020 ;Groupe EDF          ;EDF group       ;République populaire de Chine ;People's Republic of China ;Charbon        ;Coal                     ;Électrique     ;Electric       ;  8697.09456          ;GWh   ;Nette                    ;Net
221 ; 2020 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Charbon        ;Coal                     ;Électrique     ;Electric       ;  1143.633            ;GWh   ;Nette                    ;Net
222 ; 2020 ;Groupe EDF          ;EDF group       ;Pologne                       ;Poland                     ;Charbon        ;Coal                     ;Électrique     ;Electric       ;    14.136894141      ;GWh   ;Nette                    ;Net
223 ; 2020 ;Groupe EDF          ;EDF group       ;Royaume-Uni                   ;United Kingdom             ;Charbon        ;Coal                     ;Électrique     ;Electric       ;  1161.638            ;GWh   ;Nette                    ;Net
224 ; 2020 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Fioul          ;Fioul                    ;Électrique     ;Electric       ;  4688.46812992       ;GWh   ;Nette                    ;Net
225 ; 2020 ;Groupe EDF          ;EDF group       ;Chili                         ;Chile                      ;Fioul          ;Fioul                    ;Électrique     ;Electric       ;    88.86             ;GWh   ;Nette                    ;Net
226 ; 2020 ;Groupe EDF          ;EDF group       ;Belgique                      ;Belgium                    ;Gaz            ;Gas                      ;Électrique     ;Electric       ;  2279.8288919        ;GWh   ;Nette                    ;Net
227 ; 2020 ;Groupe EDF          ;EDF group       ;Brésil                        ;Brazil                     ;Gaz            ;Gas                      ;Électrique     ;Electric       ;  5340.574716         ;GWh   ;Nette                    ;Net
228 ; 2020 ;Groupe EDF          ;EDF group       ;Espagne                       ;Spain                      ;Gaz            ;Gas                      ;Électrique     ;Electric       ;    31.5000013495     ;GWh   ;Nette                    ;Net
229 ; 2020 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Gaz            ;Gas                      ;Électrique     ;Electric       ; 10310.9313863        ;GWh   ;Nette                    ;Net
230 ; 2020 ;Groupe EDF          ;EDF group       ;Grèce                         ;Greece                     ;Gaz            ;Gas                      ;Électrique     ;Electric       ;  1607.71109725       ;GWh   ;Nette                    ;Net
231 ; 2020 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Gaz            ;Gas                      ;Électrique     ;Electric       ; 13457.6964766        ;GWh   ;Nette                    ;Net
232 ; 2020 ;Groupe EDF          ;EDF group       ;Royaume-Uni                   ;United Kingdom             ;Gaz            ;Gas                      ;Électrique     ;Electric       ;  4860.719            ;GWh   ;Nette                    ;Net
233 ; 2020 ;Groupe EDF          ;EDF group       ;Viêt Nam                      ;Vietnam                    ;Gaz            ;Gas                      ;Électrique     ;Electric       ;  2711.3158125        ;GWh   ;Nette                    ;Net
234 ; 2020 ;Groupe EDF          ;EDF group       ;Pays-Bas                      ;Netherlands                ;Gaz            ;Gas                      ;Électrique     ;Electric       ;  2513.4              ;GWh   ;Nette                    ;Net
235 ; 2020 ;Groupe EDF          ;EDF group       ;Chili                         ;Chile                      ;Gaz            ;Gas                      ;Électrique     ;Electric       ;   462.75             ;GWh   ;Nette                    ;Net
236 ; 2020 ;Groupe EDF          ;EDF group       ;Allemagne                     ;Germany                    ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ;   380.45             ;GWh   ;Nette                    ;Net
237 ; 2020 ;Groupe EDF          ;EDF group       ;Belgique                      ;Belgium                    ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ;   125.4618167        ;GWh   ;Nette                    ;Net
238 ; 2020 ;Groupe EDF          ;EDF group       ;Brésil                        ;Brazil                     ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ;   300.8043342        ;GWh   ;Nette                    ;Net
239 ; 2020 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ; 46097.316304         ;GWh   ;Nette                    ;Net
240 ; 2020 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ;  3130.3704745        ;GWh   ;Nette                    ;Net
241 ; 2020 ;Groupe EDF          ;EDF group       ;Suisse                        ;Switzerland                ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ;   292.589727         ;GWh   ;Nette                    ;Net
242 ; 2020 ;Groupe EDF          ;EDF group       ;Laos                          ;Laos                       ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ;  2024.4              ;GWh   ;Nette                    ;Net
243 ; 2020 ;Groupe EDF          ;EDF group       ;Afrique du Sud                ;South Africa               ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   164.442            ;GWh   ;Nette                    ;Net
244 ; 2020 ;Groupe EDF          ;EDF group       ;Allemagne                     ;Germany                    ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   261.057            ;GWh   ;Nette                    ;Net
245 ; 2020 ;Groupe EDF          ;EDF group       ;Belgique                      ;Belgium                    ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   844.178341         ;GWh   ;Nette                    ;Net
246 ; 2020 ;Groupe EDF          ;EDF group       ;Brésil                        ;Brazil                     ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   879.915            ;GWh   ;Nette                    ;Net
247 ; 2020 ;Groupe EDF          ;EDF group       ;Canada                        ;Canada                     ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;  2104.438            ;GWh   ;Nette                    ;Net
248 ; 2020 ;Groupe EDF          ;EDF group       ;République populaire de Chine ;People's Republic of China ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   392.015            ;GWh   ;Nette                    ;Net
249 ; 2020 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;  3466.638208         ;GWh   ;Nette                    ;Net
250 ; 2020 ;Groupe EDF          ;EDF group       ;Grèce                         ;Greece                     ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   508.248            ;GWh   ;Nette                    ;Net
251 ; 2020 ;Groupe EDF          ;EDF group       ;Inde                          ;India                      ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   462.877            ;GWh   ;Nette                    ;Net
252 ; 2020 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   743.949074885      ;GWh   ;Nette                    ;Net
253 ; 2020 ;Groupe EDF          ;EDF group       ;Mexique                       ;Mexico                     ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   620.784            ;GWh   ;Nette                    ;Net
254 ; 2020 ;Groupe EDF          ;EDF group       ;Portugal                      ;Portugal                   ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   485.241            ;GWh   ;Nette                    ;Net
255 ; 2020 ;Groupe EDF          ;EDF group       ;Turquie                       ;Turkey                     ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   770.444            ;GWh   ;Nette                    ;Net
256 ; 2020 ;Groupe EDF          ;EDF group       ;Royaume-Uni                   ;United Kingdom             ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;  1111.89660168       ;GWh   ;Nette                    ;Net
257 ; 2020 ;Groupe EDF          ;EDF group       ;États-Unis                    ;United States of America   ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;  9377.013            ;GWh   ;Nette                    ;Net
258 ; 2020 ;Groupe EDF          ;EDF group       ;Chili                         ;Chile                      ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   171.533            ;GWh   ;Nette                    ;Net
259 ; 2020 ;Groupe EDF          ;EDF group       ;Belgique                      ;Belgium                    ;Solaire        ;Solar                    ;Électrique     ;Electric       ;     1.077491         ;GWh   ;Nette                    ;Net
260 ; 2020 ;Groupe EDF          ;EDF group       ;Brésil                        ;Brazil                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   378.699            ;GWh   ;Nette                    ;Net
261 ; 2020 ;Groupe EDF          ;EDF group       ;Canada                        ;Canada                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;    46.024            ;GWh   ;Nette                    ;Net
262 ; 2020 ;Groupe EDF          ;EDF group       ;République populaire de Chine ;People's Republic of China ;Solaire        ;Solar                    ;Électrique     ;Electric       ;    98.859            ;GWh   ;Nette                    ;Net
263 ; 2020 ;Groupe EDF          ;EDF group       ;Espagne                       ;Spain                      ;Solaire        ;Solar                    ;Électrique     ;Electric       ;     0.625433719653   ;GWh   ;Nette                    ;Net
264 ; 2020 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   293.78224712       ;GWh   ;Nette                    ;Net
265 ; 2020 ;Groupe EDF          ;EDF group       ;Grèce                         ;Greece                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;    20.167            ;GWh   ;Nette                    ;Net
266 ; 2020 ;Groupe EDF          ;EDF group       ;Inde                          ;India                      ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   157.207            ;GWh   ;Nette                    ;Net
267 ; 2020 ;Groupe EDF          ;EDF group       ;Israël                        ;Israel                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   373.695            ;GWh   ;Nette                    ;Net
268 ; 2020 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   104.986866301      ;GWh   ;Nette                    ;Net
269 ; 2020 ;Groupe EDF          ;EDF group       ;Mexique                       ;Mexico                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   261.347            ;GWh   ;Nette                    ;Net
270 ; 2020 ;Groupe EDF          ;EDF group       ;Turquie                       ;Turkey                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;    28.498            ;GWh   ;Nette                    ;Net
271 ; 2020 ;Groupe EDF          ;EDF group       ;États-Unis                    ;United States of America   ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   529.315            ;GWh   ;Nette                    ;Net
272 ; 2020 ;Groupe EDF          ;EDF group       ;Chili                         ;Chile                      ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   287.399            ;GWh   ;Nette                    ;Net
273 ; 2020 ;Groupe EDF          ;EDF group       ;Émirats arabes unis           ;United Arab Emirates       ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   350.909            ;GWh   ;Nette                    ;Net
274 ; 2020 ;Groupe EDF          ;EDF group       ;Égypte                        ;Egypt                      ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   148.867            ;GWh   ;Nette                    ;Net
275 ; 2020 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Géothermie     ;Geothermal               ;Électrique     ;Electric       ;     2.4376           ;GWh   ;Nette                    ;Net
276 ; 2020 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Biomasse       ;Biomass                  ;Électrique     ;Electric       ;   886.981992157      ;GWh   ;Nette                    ;Net
277 ; 2020 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Biomasse       ;Biomass                  ;Électrique     ;Electric       ;     8.96440601       ;GWh   ;Nette                    ;Net
278 ; 2020 ;Groupe EDF          ;EDF group       ;Royaume-Uni                   ;United Kingdom             ;Biomasse       ;Biomass                  ;Électrique     ;Electric       ;    27.4805018        ;GWh   ;Nette                    ;Net
279 ; 2020 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Énergie marine ;Marine energy            ;Électrique     ;Electric       ;   539.947            ;GWh   ;Nette                    ;Net
280 ; 2020 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Divers         ;Various                  ;Électrique     ;Electric       ;   237.977012217      ;GWh   ;Nette                    ;Net
281 ; 2020 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Divers         ;Various                  ;Électrique     ;Electric       ;    34.635679         ;GWh   ;Nette                    ;Net
282 ; 2020 ;Groupe EDF          ;EDF group       ;Pologne                       ;Poland                     ;Divers         ;Various                  ;Électrique     ;Electric       ;   102.3455558        ;GWh   ;Nette                    ;Net
283 ; 2020 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Charbon        ;Coal                     ;Chaleur        ;Heat           ;    14.40095424       ;GWh   ;Nette                    ;Net
284 ; 2020 ;Groupe EDF          ;EDF group       ;Pologne                       ;Poland                     ;Charbon        ;Coal                     ;Chaleur        ;Heat           ;   866.107452218      ;GWh   ;Nette                    ;Net
285 ; 2020 ;Groupe EDF          ;EDF group       ;France                        ;France                     ;Fioul          ;Fioul                    ;Chaleur        ;Heat           ;   206.146258188      ;GWh   ;Nette                    ;Net
